label,x,y,width,height,filename,resX,resY
Large Dim Peak,258,396,16,22,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_5_Z.jpg,514,514
Large Bright Peak,498,261,16,21,WSe2_1 to 100 ratio_SL358_No Wool_201202_1V_500x500_53_4_Z.jpg,514,514
Large Bright Peak,407,138,16,13,WSe2_1 to 100 ratio_SL358_No Wool_201202_1V_500x500_28_1_Z.jpg,514,514
Large Bright Trough,406,381,16,20,WSe2_1 to 100 ratio_SL358_No Wool_201202_1V_500x500_28_1_Z.jpg,514,514
Large Bright Peak,191,250,16,16,WSe2_1 to 100 ratio_SL358_No Wool_201202_1V_500x500_20_2_Z.jpg,514,514
Large Bright Peak,175,162,16,13,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_17_1_Z.jpg,514,514
Large Dim Peak,344,429,16,12,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_17_1_Z.jpg,514,514
Large Dim Peak,243,466,16,12,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_17_1_Z.jpg,514,514
Large Dim Peak,37,386,16,11,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_17_1_Z.jpg,514,514
Large Dim Peak,79,355,16,11,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_17_1_Z.jpg,514,514
Large Dim Peak,150,326,16,10,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_17_1_Z.jpg,514,514
Small Bright Trough,284,276,16,12,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_17_1_Z.jpg,514,514
Large Dim Peak,329,238,16,14,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_14_3_Z.jpg,514,514
Small Dim Trough,209,388,16,13,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_14_3_Z.jpg,514,514
Small Dim Trough,357,246,16,18,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_14_3_Z.jpg,514,514
Large Dim Peak,469,308,16,15,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_14_2_Z.jpg,514,514
Large Dim Peak,51,83,16,11,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_14_2_Z.jpg,514,514
Large Dim Peak,145,452,16,16,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_14_2_Z.jpg,514,514
Large Dim Peak,0,231,16,15,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_14_2_Z.jpg,514,514
Small Dim Trough,160,372,16,15,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_14_2_Z.jpg,514,514
Large Bright Peak,266,69,16,17,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_14_1_Z.jpg,514,514
Large Dim Peak,242,238,16,13,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_14_1_Z.jpg,514,514
Large Dim Peak,25,346,16,15,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_14_1_Z.jpg,514,514
Small Bright Trough,221,429,16,15,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_14_1_Z.jpg,514,514
Large Dim Peak,230,274,16,14,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_7_2_Z.jpg,514,514
Large Dim Peak,423,440,16,19,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_7_2_Z.jpg,514,514
Large Dim Peak,241,178,16,13,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_7_2_Z.jpg,514,514
Large Bright Peak,114,138,16,16,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_7_1_Z.jpg,514,514
Large Dim Peak,445,270,16,21,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_7_1_Z.jpg,514,514
Large Dim Peak,489,348,16,15,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_7_1_Z.jpg,514,514
Small Dim Trough,256,472,16,17,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_7_1_Z.jpg,514,514
Large Dim Peak,231,83,16,17,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_500x500_6_6_Z.jpg,514,514
Large Bright Peak,349,96,16,13,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_500x500_6_5_Z.jpg,514,514
Large Bright Peak,351,91,16,11,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_500x500_6_4_Z.jpg,514,514
Large Dim Peak,235,405,16,21,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_500x500_6_2_Z.jpg,514,514
Large Bright Trough,475,262,16,17,WSe2_1 to 25 ratio_SL337_No Wool_201118_1V_500x500_6_1_Z.jpg,514,514
Small Dim Trough,28,174,44,35,WSe2-SL445_211119_-1.4V_100x100_Z_037.jpg,1024,1024
Small Dim Trough,682,452,42,50,WSe2-SL445_211119_-1.4V_100x100_Z_037.jpg,1024,1024
Large Bright Peak,257,52,16,17,WSe2_1 to 25 ratio_SL337_No Wool_201118_1V_500x500_6_1_Z.jpg,514,514
Large Bright Peak,242,0,16,16,WSe2_1 to 25 ratio_SL337_No Wool_201118_1V_500x500_6_1_Z.jpg,514,514
Large Bright Peak,95,232,16,13,WSe2_1 to 25 ratio_SL337_No Wool_201118_1V_500x500_6_1_Z.jpg,514,514
Large Bright Peak,470,237,16,18,WSe2_1 to 25 ratio_SL337_No Wool_201118_1V_500x500_6_1_Z.jpg,514,514
Small Bright Trough,18,77,17,15,WSe2-SL445_211118_-1.4V_100x100_Z_030.jpg,512,512
Small Bright Trough,38,353,17,13,WSe2-SL445_211118_-1.4V_100x100_Z_030.jpg,512,512
Small Bright Trough,441,257,17,18,WSe2-SL445_211118_-1.4V_100x100_Z_030.jpg,512,512
Small Dim Trough,295,37,17,16,WSe2-SL445_211118_-1.4V_100x100_Z_030.jpg,512,512
Small Bright Trough,127,60,17,18,WSe2-SL445_211118_-1.4V_100x100_Z_030.jpg,512,512
Small Bright Trough,491,347,17,16,WSe2-SL445_211118_-1.4V_100x100_Z_030.jpg,512,512
Large Bright Trough,37,205,17,11,WSe2_1 to 100 ratio_SL300_No Wool_200901_1V_500x500_16_3_Z.jpg,514,514
Large Bright Peak,427,177,17,15,WSe2_1 to 100 ratio_SL300_No Wool_200901_1V_500x500_16_3_Z.jpg,514,514
Large Dim Peak,134,220,17,13,WSe2_1 to 100 ratio_SL300_No Wool_200901_1V_500x500_16_3_Z.jpg,514,514
Large Dim Peak,413,175,17,19,WSe2_1 to 100 ratio_SL300_No Wool_200901_1V_500x500_16_3_Z.jpg,514,514
Large Dim Peak,452,63,17,20,WSe2_1 to 100 ratio_SL300_No Wool_200901_1V_500x500_16_3_Z.jpg,514,514
Large Bright Peak,239,242,17,10,WSe2_1 to 100 ratio_SL300_No Wool_200901_1V_500x500_16_2_Z.jpg,514,514
Large Bright Peak,229,115,17,13,WSe2_1 to 100 ratio_SL300_No Wool_200901_1V_500x500_16_2_Z.jpg,514,514
Large Bright Trough,206,110,17,16,WSe2_1 to 100 ratio_SL300_No Wool_200901_1V_500x500_16_2_Z.jpg,514,514
Large Bright Peak,469,392,17,19,WSe2_1 to 100 ratio_SL300_No Wool_200901_1V_500x500_16_1_Z.jpg,514,514
Large Bright Peak,440,3,17,15,WSe2_1 to 100 ratio_SL300_No Wool_200901_1V_500x500_16_1_Z.jpg,514,514
Large Bright Peak,79,366,17,15,WSe2_1 to 100 ratio_SL300_No Wool_200901_1V_500x500_16_1_Z.jpg,514,514
Large Dim Peak,157,225,17,24,WSe2_1 to 100 ratio_SL300_No Wool_200901_1V_500x500_16_1_Z.jpg,514,514
Large Dim Peak,7,162,17,20,WSe2_1 to 100 ratio_SL300_No Wool_200901_1V_500x500_16_1_Z.jpg,514,514
Large Bright Peak,255,407,17,16,WSe2_1 to 5 ratio_SL333_No Wool_201029_1V_250X250_12_7_Z.jpg,514,514
Large Bright Peak,372,224,17,15,WSe2_1 to 5 ratio_SL333_No Wool_201029_1V_250X250_12_6_Z.jpg,514,514
Large Dim Peak,324,475,17,16,WSe2_1 to 5 ratio_SL333_No Wool_201029_1V_500X500_6_1_Z.jpg,514,514
Large Bright Peak,303,44,17,18,WSe2_1 to 5 ratio_SL333_No Wool_201029_1V_250X250_12_9_Z.jpg,514,514
Large Bright Peak,73,474,17,10,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_4_Z.jpg,514,514
Large Dim Peak,308,318,17,15,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_4_Z.jpg,514,514
Large Dim Peak,349,232,17,16,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_4_Z.jpg,514,514
Large Dim Peak,14,60,17,10,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_4_Z.jpg,514,514
Large Dim Peak,84,209,17,19,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_4_Z.jpg,514,514
Large Dim Peak,19,367,17,15,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_4_Z.jpg,514,514
Large Dim Peak,288,389,17,15,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_4_Z.jpg,514,514
Large Dim Peak,442,416,17,16,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_4_Z.jpg,514,514
Small Dim Trough,58,376,42,46,WSe2-SL445_211119_-1.4V_100x100_Z_037.jpg,1024,1024
Small Dim Trough,544,166,42,33,WSe2-SL445_211119_-1.4V_100x100_Z_037.jpg,1024,1024
Large Bright Peak,263,406,17,13,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_3_Z.jpg,514,514
Large Bright Peak,254,453,17,11,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_3_Z.jpg,514,514
Large Dim Peak,423,355,17,18,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_3_Z.jpg,514,514
Large Dim Peak,402,423,17,20,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_3_Z.jpg,514,514
Large Dim Peak,489,464,17,14,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_3_Z.jpg,514,514
Large Dim Peak,348,18,17,16,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_3_Z.jpg,514,514
Large Dim Peak,297,2,17,19,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_3_Z.jpg,514,514
Large Dim Peak,249,172,17,14,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_3_Z.jpg,514,514
Large Dim Peak,39,299,17,21,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_3_Z.jpg,514,514
Large Dim Peak,43,266,17,9,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_3_Z.jpg,514,514
Large Dim Peak,62,231,17,20,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_3_Z.jpg,514,514
Large Dim Peak,297,460,17,18,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_3_Z.jpg,514,514
Large Dim Peak,281,469,17,13,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_3_Z.jpg,514,514
Small Dim Trough,759,64,41,49,WSe2-SL445_211119_-1.4V_100x100_Z_037.jpg,1024,1024
Large Bright Peak,474,37,17,15,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_2_Z.jpg,514,514
Large Bright Peak,286,336,17,14,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_2_Z.jpg,514,514
Large Bright Peak,31,313,17,11,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_2_Z.jpg,514,514
Large Dim Peak,429,268,17,17,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_2_Z.jpg,514,514
Large Dim Peak,17,237,17,13,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_2_Z.jpg,514,514
Large Dim Peak,422,486,17,19,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_2_Z.jpg,514,514
Large Bright Trough,497,378,17,21,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_2_Z.jpg,514,514
Large Bright Peak,335,72,17,18,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_1_Z.jpg,514,514
Large Dim Peak,387,233,17,20,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_1_Z.jpg,514,514
Large Dim Peak,297,407,17,16,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_1_Z.jpg,514,514
Large Dim Peak,115,346,17,16,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_1_Z.jpg,514,514
Large Dim Peak,113,134,17,18,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_1_Z.jpg,514,514
Large Dim Peak,272,157,17,17,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_1_Z.jpg,514,514
Large Dim Peak,100,98,17,15,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_1_Z.jpg,514,514
Large Bright Peak,302,392,17,21,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_6_Z.jpg,514,514
Large Bright Peak,282,329,17,18,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_6_Z.jpg,514,514
Large Bright Peak,131,214,17,16,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_6_Z.jpg,514,514
Large Bright Peak,326,69,17,11,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_6_Z.jpg,514,514
Large Bright Peak,422,352,17,16,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_6_Z.jpg,514,514
Large Dim Peak,371,162,17,13,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_6_Z.jpg,514,514
Large Dim Peak,437,85,17,13,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_6_Z.jpg,514,514
Large Dim Peak,378,253,17,15,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_6_Z.jpg,514,514
Large Dim Peak,285,442,17,18,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_6_Z.jpg,514,514
Large Dim Peak,14,232,17,14,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_6_Z.jpg,514,514
Large Dim Peak,83,118,17,14,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_6_Z.jpg,514,514
Large Dim Peak,93,94,17,16,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_6_Z.jpg,514,514
Large Dim Peak,221,237,17,18,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_6_Z.jpg,514,514
Large Dim Peak,347,16,17,11,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_6_Z.jpg,514,514
Large Bright Trough,49,101,17,15,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_6_Z.jpg,514,514
Large Bright Trough,143,126,17,17,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_6_Z.jpg,514,514
Small Dim Trough,122,411,41,32,WSe2-SL445_211119_-1.4V_100x100_Z_037.jpg,1024,1024
Small Dim Trough,440,335,40,40,WSe2-SL445_211119_-1.4V_100x100_Z_037.jpg,1024,1024
Large Dim Peak,367,43,17,14,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_6_Z.jpg,514,514
Large Dim Peak,465,410,17,15,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_6_Z.jpg,514,514
Large Bright Peak,306,317,17,16,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_5_Z.jpg,514,514
Large Bright Peak,183,10,17,10,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_5_Z.jpg,514,514
Large Dim Peak,474,30,17,18,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_5_Z.jpg,514,514
Large Dim Peak,284,443,17,15,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_5_Z.jpg,514,514
Large Dim Peak,255,445,17,22,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_5_Z.jpg,514,514
Large Dim Peak,71,468,17,11,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_5_Z.jpg,514,514
Large Dim Peak,100,355,17,20,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_5_Z.jpg,514,514
Large Dim Peak,41,163,17,15,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_5_Z.jpg,514,514
Large Dim Peak,300,131,17,16,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_5_Z.jpg,514,514
Large Dim Peak,289,500,17,14,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_5_Z.jpg,514,514
Small Dim Trough,0,291,38,37,WSe2-SL445_211119_-1.4V_100x100_Z_037.jpg,1024,1024
Small Dim Trough,630,648,38,29,WSe2_1 to 100 ratio_SL358_No Wool_201202_1V_500x500_39_1_Z.jpg,1026,1026
Small Dim Trough,253,221,36,29,WSe2-SL445_211119_-1.4V_100x100_Z_037.jpg,1024,1024
Small Dim Trough,897,433,35,42,WSe2-SL445_211119_-1.4V_100x100_Z_037.jpg,1024,1024
Large Bright Trough,223,379,17,15,WSe2_SL358_201202_1V_500x500_53_6_Z.jpg,514,514
Small Dim Trough,289,191,35,38,WSe2-SL445_211119_-1.4V_100x100_Z_037.jpg,1024,1024
Small Dim Trough,993,15,31,55,WSe2-SL445_211119_-1.4V_100x100_Z_037.jpg,1024,1024
Large Dim Peak,477,182,17,17,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_14_3_Z.jpg,514,514
Large Dim Peak,478,292,17,16,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_14_3_Z.jpg,514,514
Large Dim Peak,156,437,17,14,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_14_3_Z.jpg,514,514
Large Dim Peak,180,244,17,16,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_14_3_Z.jpg,514,514
Large Dim Peak,253,147,17,15,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_14_3_Z.jpg,514,514
Small Dim Trough,169,359,17,13,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_14_3_Z.jpg,514,514
Large Bright Peak,169,284,17,13,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_14_2_Z.jpg,514,514
Large Dim Peak,322,242,17,9,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_14_2_Z.jpg,514,514
Large Dim Peak,321,251,17,15,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_14_2_Z.jpg,514,514
Large Dim Peak,271,218,17,10,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_14_2_Z.jpg,514,514
Large Dim Peak,261,389,17,13,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_14_2_Z.jpg,514,514
Large Bright Peak,185,263,17,14,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_14_1_Z.jpg,514,514
Large Dim Peak,438,220,17,14,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_14_1_Z.jpg,514,514
Large Dim Peak,33,391,17,16,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_14_1_Z.jpg,514,514
Large Bright Peak,298,180,17,16,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_7_2_Z.jpg,514,514
Large Bright Peak,213,88,17,14,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_7_2_Z.jpg,514,514
Large Bright Peak,117,156,17,15,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_7_2_Z.jpg,514,514
Large Bright Peak,216,498,17,16,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_7_2_Z.jpg,514,514
Large Dim Peak,281,411,17,19,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_7_2_Z.jpg,514,514
Large Dim Peak,294,495,17,17,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_7_2_Z.jpg,514,514
Small Bright Trough,262,302,17,14,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_7_2_Z.jpg,514,514
Large Dim Peak,439,177,17,17,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_7_2_Z.jpg,514,514
Large Bright Peak,299,163,17,18,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_7_1_Z.jpg,514,514
Large Dim Peak,8,206,17,16,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_7_1_Z.jpg,514,514
Large Dim Peak,480,223,17,19,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_7_1_Z.jpg,514,514
Small Bright Trough,261,286,17,15,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_7_1_Z.jpg,514,514
Large Dim Peak,289,52,17,17,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_7_1_Z.jpg,514,514
Large Dim Peak,43,302,17,21,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_7_1_Z.jpg,514,514
Large Dim Peak,265,192,17,19,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_500x500_6_5_Z.jpg,514,514
Large Bright Peak,75,12,17,13,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_500x500_6_4_Z.jpg,514,514
Large Dim Peak,235,82,17,15,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_500x500_6_4_Z.jpg,514,514
Large Bright Peak,272,184,17,16,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_500x500_6_3_Z.jpg,514,514
Large Dim Peak,227,66,17,18,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_500x500_6_2_Z.jpg,514,514
Large Bright Peak,464,53,17,17,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_500x500_27_1_Z.jpg,514,514
Large Bright Trough,162,159,17,14,WSe2_1 to 25 ratio_SL337_No Wool_201118_1V_500x500_6_1_Z.jpg,514,514
Large Dim Peak,3,365,17,20,WSe2_1 to 25 ratio_SL337_No Wool_201118_1V_500x500_6_1_Z.jpg,514,514
Small Bright Trough,88,216,18,17,WSe2-SL445_211118_-1.4V_100x100_Z_030.jpg,512,512
Small Bright Trough,276,113,18,16,WSe2-SL445_211118_-1.4V_100x100_Z_030.jpg,512,512
Small Bright Trough,626,102,18,19,WSe2-SL445_211118_-1.4V_200x200_Z_016.jpg,2048,2048
Large Bright Peak,446,99,18,14,WSe2_1 to 100 ratio_SL300_No Wool_200901_1V_500x500_16_3_Z.jpg,514,514
Large Bright Peak,387,54,18,18,WSe2_1 to 100 ratio_SL300_No Wool_200901_1V_500x500_16_3_Z.jpg,514,514
Large Bright Peak,261,233,18,13,WSe2_1 to 100 ratio_SL300_No Wool_200901_1V_500x500_16_3_Z.jpg,514,514
Large Dim Peak,44,147,18,8,WSe2_1 to 100 ratio_SL300_No Wool_200901_1V_500x500_16_3_Z.jpg,514,514
Large Dim Peak,454,244,18,16,WSe2_1 to 100 ratio_SL300_No Wool_200901_1V_500x500_16_3_Z.jpg,514,514
Large Dim Peak,438,73,18,17,WSe2_1 to 100 ratio_SL300_No Wool_200901_1V_500x500_16_2_Z.jpg,514,514
Large Dim Peak,259,152,18,16,WSe2_1 to 100 ratio_SL300_No Wool_200901_1V_500x500_16_2_Z.jpg,514,514
Large Dim Peak,394,192,18,15,WSe2_1 to 100 ratio_SL300_No Wool_200901_1V_500x500_16_2_Z.jpg,514,514
Large Bright Peak,332,50,18,14,WSe2_1 to 100 ratio_SL300_No Wool_200901_1V_500x500_16_2_Z.jpg,514,514
Large Bright Trough,379,111,18,11,WSe2_1 to 100 ratio_SL300_No Wool_200901_1V_500x500_16_2_Z.jpg,514,514
Small Dim Trough,855,543,31,38,WSe2_1 to 100 ratio_SL358_No Wool_201202_1V_500x500_39_1_Z.jpg,1026,1026
Small Dim Trough,167,503,30,11,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_4_Z.jpg,514,514
Small Dim Trough,350,208,27,22,WSe2_1 to 100 ratio_SL358_No Wool_201202_1V_500x500_53_8_Z.jpg,514,514
Large Bright Peak,434,122,18,11,WSe2_1 to 100 ratio_SL300_No Wool_200901_1V_500x500_16_1_Z.jpg,514,514
Large Bright Peak,380,228,18,20,WSe2_1 to 5 ratio_SL333_No Wool_201029_1V_250X250_12_8_Z.jpg,514,514
Large Dim Peak,490,483,18,21,WSe2_1 to 5 ratio_SL333_No Wool_201029_1V_250X250_12_5_Z.jpg,514,514
Large Bright Peak,272,83,18,15,WSe2_1 to 5 ratio_SL333_No Wool_201029_1V_250X250_12_1_Z.jpg,514,514
Large Bright Peak,332,108,18,16,WSe2_1 to 5 ratio_SL333_No Wool_201029_1V_500X500_6_1_Z.jpg,514,514
Large Bright Peak,108,284,18,16,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_4_Z.jpg,514,514
Large Bright Peak,41,301,18,16,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_4_Z.jpg,514,514
Large Dim Peak,423,354,18,18,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_4_Z.jpg,514,514
Large Dim Peak,329,222,18,19,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_4_Z.jpg,514,514
Large Dim Peak,95,94,18,19,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_4_Z.jpg,514,514
Large Dim Peak,30,131,18,17,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_4_Z.jpg,514,514
Large Dim Peak,302,402,18,14,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_4_Z.jpg,514,514
Large Dim Peak,33,499,18,15,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_4_Z.jpg,514,514
Large Dim Peak,480,329,18,18,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_4_Z.jpg,514,514
Large Dim Peak,431,272,18,17,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_4_Z.jpg,514,514
Large Dim Peak,131,483,18,15,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_4_Z.jpg,514,514
Large Dim Peak,137,385,18,22,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_4_Z.jpg,514,514
Large Bright Trough,419,136,18,18,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_4_Z.jpg,514,514
Small Dim Trough,144,216,26,23,WSe2_1 to 100 ratio_SL358_No Wool_201202_1V_500x500_28_2_Z.jpg,514,514
Large Bright Peak,370,167,18,14,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_3_Z.jpg,514,514
Large Bright Peak,350,230,18,18,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_3_Z.jpg,514,514
Large Dim Peak,303,138,18,15,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_3_Z.jpg,514,514
